id_ubicacion,id_comuna
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,3
21,3
22,3
23,3
24,3
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,6
51,6
52,6
53,6
54,6
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,8
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,9
73,9
74,9
75,9
76,9
77,9
78,9
79,9
80,9
81,9
82,9
83,9
84,9
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,11
93,11
94,11
95,11
96,11
97,11
98,11
99,11
100,11
101,11
102,12
103,12
104,12
105,12
106,12
107,12
108,12
109,12
110,12
111,13
112,13
113,13
114,13
115,13
116,13
117,13
118,13
119,13
120,13
121,13
122,14
123,14
124,14
125,14
126,14
127,14
128,14
129,14
130,14
131,14
132,15
133,15
134,16
135,16
136,16
137,16
138,16
139,16
140,16
141,16
142,16
143,17
144,17
145,17
146,17
147,17
148,17
149,17
150,17
151,17
152,18
153,18
154,18
155,18
156,18
157,18
158,19
159,19
160,19
161,20
162,20
163,20
164,20
165,21
166,21
167,21
168,21
169,21
170,21
171,22
172,22
173,22
174,22
175,23
176,23
177,23
178,23
179,24
180,24
181,24
182,24
183,24
184,24
185,25
186,25
187,25
188,25
189,25
190,25
191,25
192,25
193,26
194,26
195,26
196,26
197,27
198,27
199,27
200,27
201,28
202,28
203,28
204,28
205,28
206,28
207,28
208,28
209,29
210,29
211,30
212,30
213,31
214,31
215,32
216,32
217,32
